"Freq","CATEGORY","PRIMARY_COM_NAME","SCI_NAME","ORDER1","FAMILY","SPECIES_GROUP"
3879,"species","American Robin","Turdus migratorius","Passeriformes","Turdidae (Thrushes and Allies)","Thrushes"
3719,"species","House Sparrow","Passer domesticus","Passeriformes","Passeridae (Old World Sparrows)","Old World Sparrows"
3409,"species","European Starling","Sturnus vulgaris","Passeriformes","Sturnidae (Starlings)","Starlings and Mynas"
3049,"species","Northern Cardinal","Cardinalis cardinalis","Passeriformes","Cardinalidae (Cardinals and Allies)","Cardinals, Grosbeaks, and Allies"
2984,"species","Blue Jay","Cyanocitta cristata","Passeriformes","Corvidae (Crows, Jays, and Magpies)","Jays, Magpies, Crows, and Ravens"
2462,"species","White-throated Sparrow","Zonotrichia albicollis","Passeriformes","Passerellidae (New World Sparrows)","New World Sparrows"
2375,"species","Common Grackle","Quiscalus quiscula","Passeriformes","Icteridae (Troupials and Allies)","Blackbirds"
2267,"species","Gray Catbird","Dumetella carolinensis","Passeriformes","Mimidae (Mockingbirds and Thrashers)","Catbirds, Mockingbirds, and Thrashers"
1913,"species","Red-winged Blackbird","Agelaius phoeniceus","Passeriformes","Icteridae (Troupials and Allies)","Blackbirds"
1638,"species","Common Yellowthroat","Geothlypis trichas","Passeriformes","Parulidae (New World Warblers)","Wood-Warblers"
1628,"species","Black-and-white Warbler","Mniotilta varia","Passeriformes","Parulidae (New World Warblers)","Wood-Warblers"
1446,"species","Hermit Thrush","Catharus guttatus","Passeriformes","Turdidae (Thrushes and Allies)","Thrushes"
1428,"species","Baltimore Oriole","Icterus galbula","Passeriformes","Icteridae (Troupials and Allies)","Blackbirds"
1413,"species","Ovenbird","Seiurus aurocapilla","Passeriformes","Parulidae (New World Warblers)","Wood-Warblers"
1281,"species","American Redstart","Setophaga ruticilla","Passeriformes","Parulidae (New World Warblers)","Wood-Warblers"
1218,"species","House Finch","Haemorhous mexicanus","Passeriformes","Fringillidae (Finches, Euphonias, and Allies)","Finches, Euphonias, and Allies"
1202,"species","Ruby-crowned Kinglet","Corthylio calendula","Passeriformes","Regulidae (Kinglets)","Kinglets"
1198,"species","Northern Parula","Setophaga americana","Passeriformes","Parulidae (New World Warblers)","Wood-Warblers"
1146,"species","Song Sparrow","Melospiza melodia","Passeriformes","Passerellidae (New World Sparrows)","New World Sparrows"
1077,"species","Black-throated Blue Warbler","Setophaga caerulescens","Passeriformes","Parulidae (New World Warblers)","Wood-Warblers"
993,"species","Eastern Towhee","Pipilo erythrophthalmus","Passeriformes","Passerellidae (New World Sparrows)","New World Sparrows"
981,"species","Chipping Sparrow","Spizella passerina","Passeriformes","Passerellidae (New World Sparrows)","New World Sparrows"
979,"species","Yellow-rumped Warbler","Setophaga coronata","Passeriformes","Parulidae (New World Warblers)","Wood-Warblers"
941,"species","Northern Mockingbird","Mimus polyglottos","Passeriformes","Mimidae (Mockingbirds and Thrashers)","Catbirds, Mockingbirds, and Thrashers"
863,"species","American Goldfinch","Spinus tristis","Passeriformes","Fringillidae (Finches, Euphonias, and Allies)","Finches, Euphonias, and Allies"
829,"species","Warbling Vireo","Vireo gilvus","Passeriformes","Vireonidae (Vireos, Shrike-Babblers, and Erpornis)","Vireos"
811,"species","Magnolia Warbler","Setophaga magnolia","Passeriformes","Parulidae (New World Warblers)","Wood-Warblers"
798,"species","Wood Thrush","Hylocichla mustelina","Passeriformes","Turdidae (Thrushes and Allies)","Thrushes"
758,"species","Yellow Warbler","Setophaga petechia","Passeriformes","Parulidae (New World Warblers)","Wood-Warblers"
739,"species","Swamp Sparrow","Melospiza georgiana","Passeriformes","Passerellidae (New World Sparrows)","New World Sparrows"
726,"species","Brown-headed Cowbird","Molothrus ater","Passeriformes","Icteridae (Troupials and Allies)","Blackbirds"
712,"species","Northern Waterthrush","Parkesia noveboracensis","Passeriformes","Parulidae (New World Warblers)","Wood-Warblers"
692,"species","Blue-headed Vireo","Vireo solitarius","Passeriformes","Vireonidae (Vireos, Shrike-Babblers, and Erpornis)","Vireos"
